Key,Value
Density,0.886275
Density_unit,g/cm^3
Estimated_saturation_loading,14.4646328
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,824.947
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.6047
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.682294
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,1364.22
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-24.3603300491
adsorption_energy_widom_dev,0.1926638118
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,27.2823602987
conversion_factor_molec_uc_to_mg_g,60.4275444139
conversion_factor_molec_uc_to_mol_kg,1.3733907382
henry_coefficient_average,8.66183e-05
henry_coefficient_dev,1.70004e-06
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,

pressure': [0.2, 0.4093881168546, 0.66829482286539, 0.99569133494997, 1.4211903075144, 1.9933714081217, 2.5933714081217, 3.1933714081217, 3.7933714081217, 4.3933714081217, 4.9933714081217, 5.5933714081217, 6.1933714081217, 6.7933714081217, 7.3933714081217, 7.9933714081217, 8.5933714081217, 9.1933714081217, 9.7933714081217, 10.2], 
pressure_unit': 'bar', 
loading_absolute_dev': [0.22363978255485, 0.28493041034185, 0.49122337448256, 0.42346118230968, 0.3269538380721, 0.11523330418896, 0.23701573431906, 0.46455439106805, 0.199056820221, 0.15724452810645, 0.2806408121136, 0.20791128098831, 0.2645226548736, 0.34008141157194, 0.23139484101478, 0.15844877753489, 0.091176273460618, 0.27909986715598, 0.23476113652957, 0.28533185424004], 
loading_absolute_unit': 'mol/kg', 
loading_absolute_average': [1.7761547395614, 3.5615626992214, 5.3733225936706, 7.2806018139616, 8.5969281669894, 9.9095978671767, 10.855829751028, 11.586095941297, 12.058044501096, 12.427246266292, 12.734851456881, 13.033924457508, 13.189838641062, 13.369821497303, 13.583349422325, 13.860843020978, 13.913426718867, 14.291624193399, 14.185684265331, 14.18681731269], 
enthalpy_of_adsorption_dev': [2.2304003641715, 2.9646850747882, 1.8142948542067, 3.5210689514687, 1.5413126138036, 1.4993953838351, 4.0471511311766, 1.9159045005945, 4.0843052139715, 4.3535213555827, 4.7954680684775, 2.8980430936287, 1.3972988950138, 2.6562521513557, 3.6865638173156, 4.6153341730896, 3.1584579747741, 3.6378201175659, 4.139020386953, 4.5187482726797], 
enthalpy_of_adsorption_unit': 'kJ/mol', 
enthalpy_of_adsorption_average': [-27.601983736998, -27.182260191398, -27.542804370058, -26.474781039801, -27.094241683503, -27.192984044632, -27.955731959791, -27.512535315491, -30.290703815486, -28.363776574959, -30.211916639645, -29.039671996209, -28.250436673235, -30.214587979014, -29.431691568349, -30.292133645955, -30.258634273694, -30.188164425931, -31.092292035619, -29.467334480723]
,
temperature,298
temperature_unit,K
