Key,Value
Density,0.886275
Density_unit,g/cm^3
Estimated_saturation_loading,19.2354817
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,821.809
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.6024
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.679699
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,1364.22
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.8181847206
adsorption_energy_widom_dev,0.0508032918
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,27.2823602987
conversion_factor_molec_uc_to_mg_g,38.473453978
conversion_factor_molec_uc_to_mol_kg,1.3733907382
henry_coefficient_average,3.33607e-06
henry_coefficient_dev,3.2439e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.006664306866119, 0.022627993081554, 0.028777657064675, 0.035640085021175, 0.051354530482867, 0.055198028601067, 0.072611500826532, 0.12572028870703, 0.064695633143783, 0.079214902070923, 0.089728739399381, 0.083021697283018, 0.085544233305093, 0.095328022125714, 0.085396608908034, 0.047601339672657, 0.10506027349751, 0.11175502472814], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.067965674156672, 0.26482406909341, 0.44092709649911, 0.64197433318736, 0.8054936679543, 1.0043949816141, 1.1780259056911, 1.3573048991788, 1.5104379664881, 1.6599487157254, 1.8219058185277, 1.9163435991631, 2.0392277354636, 2.1510560763215, 2.3139230504878, 2.5016998991682, 2.6614252420209, 2.6886527134057], 'enthalpy_of_adsorption_dev': [0.2810107422281, 0.31961362067962, 0.26965436132798, 0.40663174611093, 0.31815467311866, 0.62311100579515, 0.26613219924671, 0.43426066531973, 0.47521994130021, 0.78239415330124, 0.7227894207345, 0.39962606736341, 0.34137471419188, 0.52634116551512, 1.0397749453327, 0.64112584703134, 0.36430705977235, 0.49934065833562], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-12.442368611409, -12.393359773183, -12.240407240195, -12.358178893018, -12.211610918494, -12.316127144081, -12.313665660622, -12.66070905357, -12.396271814954, -12.544133679213, -12.481492188604, -12.658867742552, -12.620311125523, -12.862571732642, -12.24854688916, -12.601864009379, -12.751003300824, -12.503519908874]}"
temperature,298
temperature_unit,K
