Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,9.3060792
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,1207.66
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4562
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.438966
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-23.6434537112
adsorption_energy_widom_dev,0.0295401741
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,14.0598000531
conversion_factor_molec_uc_to_mg_g,26.5569800057
conversion_factor_molec_uc_to_mol_kg,0.6035841888
henry_coefficient_average,0.000184638
henry_coefficient_dev,1.47228e-06
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.29833798640447, 0.42606655579557, 0.59769876255987, 0.83851951052801, 1.1961272487519, 1.7696176642626, 2.3696176642626, 2.9696176642626, 3.5696176642626, 4.1696176642626, 4.7696176642626, 5.3696176642626, 5.9696176642626, 6.5696176642626, 7.1696176642626, 7.7696176642626, 8.3696176642626, 8.9696176642626, 9.5696176642626, 10.169617664263, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.22031135614204, 0.13880439704011, 0.12591845730941, 0.27390515562534, 0.14725903110036, 0.19181806127856, 0.16264176014401, 0.059343769353109, 0.17270960833276, 0.20779726929902, 0.19246959594571, 0.19137863925348, 0.097146566333331, 0.096115327777878, 0.063676291590208, 0.16417131183026, 0.22374701516806, 0.21392382506192, 0.05890029914924, 0.19499823500806, 0.25739813272755, 0.1461516322316], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [4.7733047208342, 6.3704991414802, 7.3841483683943, 8.0560884665759, 8.6577210665189, 8.9769165050092, 9.2854989215332, 9.5367106609117, 9.6516532099724, 9.705150888553, 9.8233427324766, 9.9627304411234, 9.8963060011459, 10.009920664931, 10.228418141277, 10.186841250425, 10.080670791615, 10.180523735895, 10.144177908033, 10.149891838314, 10.343431108452, 10.217895656939], 'enthalpy_of_adsorption_dev': [1.6194139831882, 1.5332546290522, 4.1891486202223, 1.7479195164334, 2.3195949880688, 4.3321763571209, 3.1500687020362, 1.8638503072177, 7.3655063563726, 4.9801099997506, 2.3085662035536, 7.3377515402459, 9.5712793810747, 6.7093956831542, 6.6772385988543, 13.569294139167, 7.6043916174037, 5.9745528838559, 10.834195571741, 5.0894830427444, 7.5233367006726, 8.2432904558795], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-32.360152735859, -34.566855985965, -36.698180555902, -37.331444131268, -37.7126337582, -37.441990804254, -37.590095948384, -38.388347675704, -37.203246115088, -36.290182501476, -39.446771677766, -36.16767869763, -33.079107946089, -37.812854505999, -37.075707847979, -34.987077565206, -37.822474952816, -38.462247969203, -34.515195347252, -35.427253415147, -36.030964472492, -37.53194199862]}"
temperature,298
temperature_unit,K
