Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,12.3247066
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,1198.13
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4526
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.435502
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.6893220955
adsorption_energy_widom_dev,0.0094479325
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,14.0598000531
conversion_factor_molec_uc_to_mg_g,16.908493601
conversion_factor_molec_uc_to_mol_kg,0.6035841888
henry_coefficient_average,1.05452e-05
henry_coefficient_dev,3.33437e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,
"{
'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 
'pressure_unit': 'bar', 
'loading_absolute_dev': [0.017472346196895, 0.037632311125307, 0.0434024459582, 0.05359343467702, 0.060692403619977, 0.034461221518919, 0.021116956411725, 0.078636506450523, 0.061239009159562, 0.051880962577272, 0.11071561518584, 0.12042775370819, 0.08357435331143, 0.078089130616796, 0.12437249573839, 0.062202336948973, 0.041702916333138, 0.11968491564545], 
'loading_absolute_unit': 'mol/kg', 
'loading_absolute_average': [0.2092928174664, 0.77232620853564, 1.2533224485904, 1.6811228020986, 2.076913074208, 2.4381883904142, 2.7958925001499, 3.031773201133, 3.3381625951244, 3.5647883385056, 3.8077611537071, 4.0029401609122, 4.1927673882898, 4.4095647691501, 4.592963824917, 4.7688180783239, 4.8780165178344, 5.0053627219146], 
'enthalpy_of_adsorption_dev': [0.31567975356065, 0.27910245857341, 0.37764318675014, 0.39932788738952, 0.27341957879158, 0.60823694428508, 0.18692761467661, 0.60901391833579, 0.26627635462656, 0.83398127593059, 0.87126853075919, 0.4088672520017, 0.47705429314975, 0.27141332634922, 0.52971443299826, 0.65478086519834, 0.84025295785421, 0.53178967848145], 
'enthalpy_of_adsorption_unit': 'kJ/mol', 
'enthalpy_of_adsorption_average': [-16.279360538109, -16.579787566619, -16.657755439708, -17.031626715888, -17.343828872648, -17.290373899379, -17.663208866495, -17.874245674424, -17.901278840638, -17.977085380759, -18.266481172, -18.380662742261, -18.482592768119, -18.522469797876, -18.433083152495, -18.540638464161, -18.809318134577, -18.970398759489]
}"
temperature,298
temperature_unit,K
