Key,Value
Density,0.882399
Density_unit,g/cm^3
Estimated_saturation_loading,13.6296072
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,3224.29
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5673
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.642906
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,5683.56
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-19.909138639
adsorption_energy_widom_dev,0.0598395914
adsorption_energy_widom_unit,kJ/mol
henry_coefficient_average,4.10033e-05
henry_coefficient_dev,3.47753e-07
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,False
is_porous,True
temperature,298
temperature_unit,K
