Key,Value
Density,0.882399
Density_unit,g/cm^3
Estimated_saturation_loading,13.6296072
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,3224.29
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5673
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.642906
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,5683.56
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-19.909138639
adsorption_energy_widom_dev,0.0598395914
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,6.5485801117
conversion_factor_molec_uc_to_mg_g,14.5682062393
conversion_factor_molec_uc_to_mol_kg,0.3311046265
henry_coefficient_average,4.10033e-05
henry_coefficient_dev,3.47753e-07
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,

pressure': [0.2, 0.57360604923733, 1.0306283011371, 1.6011117080842, 2.2011117080842, 2.8011117080842, 3.4011117080842, 4.0011117080842, 4.6011117080842, 5.2011117080842, 5.8011117080842, 6.4011117080842, 7.0011117080842, 7.6011117080842, 8.2011117080842, 8.8011117080842, 9.4011117080842, 10.001111708084, 10.2], 
pressure_unit': 'bar', 
loading_absolute_dev': [0.096226125329439, 0.12795915164312, 0.25618344773232, 0.13074027276747, 0.10734037935611, 0.087644323383027, 0.10999787054907, 0.1961919065321, 0.070410132586188, 0.047950866494185, 0.097198533560816, 0.13958793808745, 0.1085988221529, 0.20493953090691, 0.1408751706964, 0.1101550732314, 0.16928318955294, 0.15926446600632, 0.13302486975814], 
loading_absolute_unit': 'mol/kg', 
loading_absolute_average': [0.80794495435398, 2.4260449864438, 4.0465620823071, 5.4911964005736, 6.4569789303801, 7.1128309745513, 7.6720253006315, 8.1321034567689, 8.5421848143048, 8.81331811533, 9.1672358505959, 9.516683673404, 9.8167141307069, 10.07995058639, 10.367647396356, 10.576301254361, 10.838701670862, 10.988203687342, 11.052628370043], 
enthalpy_of_adsorption_dev': [0.97179943129381, 1.2224522877121, 0.7573687278109, 1.1960805667107, 1.0196736923499, 2.04562783002, 0.56980229145361, 1.8344018690812, 1.4513063863045, 2.6561758831991, 2.805444389015, 1.7624256566312, 1.9088143141021, 1.4403941533012, 0.66920486726032, 2.3726675147373, 0.97340403082986, 2.3493188496171, 1.5789928579149], 
enthalpy_of_adsorption_unit': 'kJ/mol', 
enthalpy_of_adsorption_average': [-22.716924663058, -23.815904733398, -24.655526759954, -25.639013244868, -25.565376518421, -24.860514828765, -23.589546531641, -23.336223258753, -22.81727952242, -23.681767146409, -22.330784797918, -21.976541617819, -22.629143199222, -23.150675297033, -21.992984460353, -23.527352938731, -23.135609737846, -23.11911950313, -23.01435717077] 
,
temperature,298
temperature_unit,K
