Key,Value
Density,0.678215
Density_unit,g/cm^3
Estimated_saturation_loading,24.3227746
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,8394.52
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5829
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.859462
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,14401.3
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.2862835519
adsorption_energy_widom_dev,0.037288738
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.5844373369
conversion_factor_molec_uc_to_mg_g,4.7626758606
conversion_factor_molec_uc_to_mol_kg,0.170013717
henry_coefficient_average,3.33361e-06
henry_coefficient_dev,1.0559e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,

pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 
pressure_unit': 'bar', 
loading_absolute_dev': [0.0052696025136221, 0.023366924252762, 0.028942886707033, 0.020842391997144, 0.036582614389442, 0.02439014912231, 0.021115470936624, 0.080032963649582, 0.08187680569594, 0.033742519231665, 0.059400481383317, 0.063395390871507, 0.053455124481665, 0.065227494660802, 0.094144358541268, 0.032882402189938, 0.067311490229159, 0.087060968428133], 
loading_absolute_unit': 'mol/kg', 
loading_absolute_average': [0.065965322196, 0.26104756176765, 0.45821246937255, 0.63444868841475, 0.8083472188482, 0.97087183161435, 1.1444898394148, 1.3307993711892, 1.4665128207844, 1.62023072301, 1.8216289721682, 1.9583625040655, 2.1378629864741, 2.2786003414067, 2.4104799816836, 2.5550171431911, 2.675786387062, 2.7896700753945], 
enthalpy_of_adsorption_dev': [0.48800113076085, 0.39929147023854, 0.64543297331903, 0.60380831109227, 0.71055392315815, 1.0323045820758, 0.98522231922377, 0.78507739891746, 0.61918868740283, 0.62262711498009, 0.5376869704755, 0.46145616223092, 0.33029827143249, 0.4805811029907, 0.43261889202065, 0.59400203703242, 0.36059896236063, 0.55219814921055], 
enthalpy_of_adsorption_unit': 'kJ/mol', 
enthalpy_of_adsorption_average': [-11.607079810099, -11.667180913422, -11.724092855421, -11.584392257614, -11.538487108495, -11.591813208284, -11.808479376086, -11.438807795598, -11.557069749653, -11.396355374856, -11.495325467894, -11.451779202315, -11.492631180731, -11.468806465291, -11.335714000649, -11.244535598181, -11.594264049288, -11.420277867851]
,
temperature,298
temperature_unit,K
