Key,Value
Density,0.909567
Density_unit,g/cm^3
Estimated_saturation_loading,10.2344484
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,2189.3
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4391
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.482757
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,4985.87
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.846972603
adsorption_energy_widom_dev,0.0223100205
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,7.4649453328
conversion_factor_molec_uc_to_mg_g,16.1096362244
conversion_factor_molec_uc_to_mol_kg,0.3661380816
henry_coefficient_average,8.82873e-06
henry_coefficient_dev,5.38305e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,
"{
'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 
'pressure_unit': 'bar', 
'loading_absolute_dev': [0.0072389860169148, 0.056511150417912, 0.058080435517367, 0.13389322973592, 0.11629858179157, 0.059922795368463, 0.074446753576451, 0.15247063516606, 0.14917672151289, 0.088866573729471, 0.082168119778933, 0.1192678854034, 0.061612254894881, 0.11452834894572, 0.14947270479202, 0.17250017432437, 0.060056925404703, 0.12595151870683], 
'loading_absolute_unit': 'mol/kg', 
'loading_absolute_average': [0.1804145397084, 0.74379120586632, 1.3294839880978, 1.9416577070809, 2.5851270785888, 3.1306362063647, 3.6653168003772, 4.2015626346886, 4.6050742609679, 5.0030846625712, 5.3442704339101, 5.5820496575532, 5.8720493250845, 6.0934072557678, 6.276293227527, 6.5284067570647, 6.659603185154, 6.7791747291526], 
'enthalpy_of_adsorption_dev': [0.21241574584487, 0.15552272746169, 0.58438899836206, 0.71267513074422, 0.3506664504918, 0.5184614086287, 0.71483466779743, 0.35156586266244, 0.56847658244161, 0.44377202697197, 0.93812918111297, 0.78947451215152, 0.94657424359582, 0.7131703707399, 1.5572592768119, 0.9035971498175, 1.209812343585, 0.89567842325376], 
'enthalpy_of_adsorption_unit': 'kJ/mol', 
'enthalpy_of_adsorption_average': [-16.41122837212, -17.135364711947, -17.659028044532, -18.213102857665, -18.916316546523, -19.203394278018, -20.181719089072, -20.598438469149, -21.116134377624, -21.724026506365, -21.868730222078, -22.036979704506, -22.929317136847, -22.625022490501, -23.188662542715, -24.00623772584, -24.228929768111, -24.382586948027]
}"
temperature,298
temperature_unit,K
